City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
252,Birin,NP,77.0,light rain,26.89,88.07,HOTEL SURYODAYA
255,Veraval,IN,80.82,moderate rain,20.9,70.37,Lords Inn Somnath
260,Los Llanos De Aridane,ES,77.0,few clouds,28.66,-17.92,Valle Aridane
264,Pattani,TH,80.6,few clouds,6.75,100.42,บ้านสิรินยา
266,Craig,US,84.2,clear sky,40.52,-107.55,Candlewood Suites Craig-Northwest
267,Baghdad,IQ,80.6,clear sky,33.34,44.4,Baghdad Hotel
268,Sorong,ID,81.16,light rain,-0.88,131.25,The Waigo Hotel
277,Mount Isa,AU,77.0,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
280,Sao Jose De Ribamar,BR,78.8,overcast clouds,-2.56,-44.05,Decida Praia
283,Awbari,LY,81.43,clear sky,26.59,12.78,فندق أوباري
284,Fukue,JP,82.4,broken clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
285,Flagstaff,US,80.6,few clouds,35.2,-111.65,Drury Inn & Suites Flagstaff
287,Samarai,PG,78.42,overcast clouds,-10.62,150.67,Nuli Sapi
289,Lorengau,PG,84.02,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
294,Daru,PG,78.4,light rain,-9.08,143.21,New century hotel
295,Karratha,AU,88.77,clear sky,-20.74,116.85,ibis Styles Karratha
297,Atambua,ID,82.24,broken clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
301,Kuala Terengganu,MY,78.8,few clouds,5.33,103.14,Hotel Grand Continental Kuala Terengganu (4 Star)
303,Comonfort,MX,75.99,clear sky,20.72,-100.77,El Kiosco Verde
305,Lebanon,US,75.0,mist,36.21,-86.29,Hampton Inn & Suites Lebanon
306,Elizabeth City,US,84.2,clear sky,36.29,-76.25,Hampton Inn Elizabeth City
307,Gorom-Gorom,BF,81.23,scattered clouds,14.44,-0.24,Mairie de Rambo
308,Kloulklubed,PW,86.0,broken clouds,7.04,134.26,Storyboard Beach Resort
