City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,Port Lavaca,US,87.01,clear sky,28.61,-96.63,Holiday Inn Express & Suites Port Lavaca
560,Alta Floresta,BR,78.48,scattered clouds,-9.88,-56.09,Floresta Amazonica Hotel
561,Gizo,SB,84.31,broken clouds,-8.1,156.84,Imagination Island
565,Muli,MV,83.59,few clouds,2.92,73.57,Medhufushi Island Resort
568,Coahuayana,MX,77.63,overcast clouds,18.73,-103.68,Hotel Los Arcos
569,Fare,PF,78.08,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
571,Kumluca,TR,86.85,clear sky,36.37,30.29,TurkuazKöy
575,Mountain Home,US,89.6,clear sky,43.13,-115.69,Mountain Home Inn
580,Bombay,IN,80.6,shower rain,19.01,72.85,Four Seasons Hotel Mumbai
581,Gabaldon,PH,85.05,light rain,15.45,121.34,Leivy Lance Resort
584,Shache,CN,76.98,overcast clouds,38.42,77.24,Delong Hotel
588,Newberry,US,80.01,clear sky,34.27,-81.62,Hampton Inn Newberry-Opera House
589,Kingsland,US,80.6,scattered clouds,30.8,-81.69,Microtel Inn & Suites by Wyndham Kingsland
591,Santa Cruz,BO,77.0,clear sky,-17.8,-63.17,Hotel Cortez
596,Conde,BR,77.0,scattered clouds,-7.26,-34.91,Pousada Beija Flor
599,Sattahip,TH,86.0,few clouds,12.67,100.9,Makmai Sailom Heights
600,Payo,ID,88.74,broken clouds,-3.75,103.64,Mess keban agung
603,Petatlan,MX,76.05,overcast clouds,17.52,-101.27,Hotel California Petatlán
607,Lethem,GY,75.42,light rain,3.38,-59.8,Savannah Inn
610,Waingapu,ID,85.71,light rain,-9.66,120.26,Pondok Wisata Elim
613,Cayenne,GF,78.8,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
616,West Hollywood,US,75.2,clear sky,34.09,-118.36,The Hollywood Roosevelt
617,Kununurra,AU,87.8,few clouds,-15.77,128.73,Hotel Kununurra
618,Parola,IN,76.53,light rain,20.88,75.12,Patil Water Solution
620,Belle Fourche,US,77.0,few clouds,44.67,-103.85,Kings Inn
633,Pak Phanang,TH,89.6,few clouds,8.35,100.2,Green Park Inn Hotel
635,San Juan De Uraba,CO,76.28,broken clouds,8.76,-76.53,Hotel Cerro De Zumba
638,Wajima,JP,86.0,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
643,Tumpat,MY,86.0,few clouds,6.2,102.17,OYO 44005 Senangin Resort & Cafe
644,San Andres,CO,77.0,broken clouds,12.58,-81.7,Hotel Arena Blanca
648,Kahului,US,87.8,clear sky,20.89,-156.47,Maui Seaside Hotel
649,Sorong,ID,83.26,broken clouds,-0.88,131.25,The Waigo Hotel
652,Auki,SB,87.28,overcast clouds,-8.77,160.7,Auki Motel
654,Itacoatiara,BR,75.02,moderate rain,-3.14,-58.44,BBB Rooms Centro Itacoatiara AM
655,Guiren,CN,75.31,overcast clouds,33.67,118.19,Suyuan Hotel
661,Puerto Cabezas,NI,79.83,few clouds,14.04,-83.39,Hotel Caribe
668,Iberia,US,80.6,clear sky,29.95,-91.75,back to back rv park
669,Arlit,NE,87.96,few clouds,18.74,7.39,Hôtel Telwa Bungalow
673,Pampa,US,80.6,very heavy rain,35.54,-100.96,Holiday Inn Express & Suites Pampa
