City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Rincon,US,32.3,-81.24,89.6,62,40,6.93,scattered clouds
111,Neftekumsk,RU,44.67,44.92,68.22,70,41,7.94,scattered clouds
112,Aasiaat,GL,68.71,-52.87,40.59,72,100,6.87,overcast clouds
113,Makakilo City,US,21.35,-158.09,87.8,48,75,9.17,broken clouds
114,Inza,RU,53.85,46.36,57.96,89,100,4.45,overcast clouds
115,Newport,GB,51.59,-3.0,54.0,83,78,1.99,broken clouds
116,Vardo,NO,70.37,31.11,48.7,75,100,9.17,overcast clouds
117,Torbay,CA,47.67,-52.73,59.0,76,75,16.11,broken clouds
118,Clyde River,CA,70.47,-68.59,46.4,81,1,5.82,clear sky
119,Saurimo,AO,-9.66,20.39,68.43,73,79,0.76,broken clouds
120,Tuy Hoa,VN,13.08,109.3,84.7,65,4,10.22,clear sky
121,Bengkulu,ID,-3.8,102.27,79.59,75,79,6.44,broken clouds
122,Butaritari,KI,3.07,172.79,82.27,74,75,14.47,broken clouds
123,Jamestown,US,42.1,-79.24,71.01,88,75,11.41,broken clouds
124,Mataura,NZ,-46.19,168.86,45.0,72,100,11.01,overcast clouds
125,Sao Filipe,CV,14.9,-24.5,80.55,81,97,3.53,light rain
126,Havre-Saint-Pierre,CA,50.23,-63.6,53.6,71,75,10.29,broken clouds
127,Wad Rawah,SD,15.16,33.14,83.53,58,85,11.9,overcast clouds
128,Bosaso,SO,11.28,49.18,92.1,41,98,19.46,overcast clouds
129,Otavi,NA,-19.65,17.33,53.76,38,0,6.91,clear sky
130,Provideniya,RU,64.38,-173.3,51.8,76,90,8.95,overcast clouds
131,Kvam,NO,61.67,9.69,43.65,76,0,2.17,clear sky
132,Codrington,AU,-38.27,141.97,57.97,67,0,18.25,clear sky
133,Salalah,OM,17.02,54.09,75.2,100,90,5.82,mist
134,Lavrentiya,RU,65.58,-171.0,49.77,77,77,2.8,broken clouds
135,Krasnoturansk,RU,54.32,91.56,60.8,82,40,4.47,scattered clouds
136,Lompoc,US,34.64,-120.46,66.99,72,1,14.99,clear sky
137,Dwarka,IN,22.24,68.97,81.68,86,100,11.41,light rain
138,Hithadhoo,MV,-0.6,73.08,82.06,69,100,10.38,overcast clouds
139,Goure,NE,13.98,10.27,75.0,88,11,3.0,few clouds
140,Genhe,CN,50.78,121.52,48.85,90,100,9.51,overcast clouds
141,Kargasok,RU,59.06,80.86,56.52,96,69,7.54,light rain
142,Kudahuvadhoo,MV,2.67,72.89,81.72,76,100,8.52,overcast clouds
143,Bambanglipuro,ID,-7.95,110.28,81.55,69,4,11.83,clear sky
144,Lichinga,MZ,-13.31,35.24,61.61,56,0,5.82,clear sky
145,Auki,SB,-8.77,160.7,83.62,75,85,4.09,overcast clouds
146,Usinsk,RU,65.99,57.53,41.58,81,1,8.48,clear sky
147,Puerto Plata,DO,19.79,-70.69,82.99,88,20,11.41,few clouds
148,Hamilton,US,39.18,-84.53,79.0,88,1,3.36,clear sky
149,Karachi,PK,24.91,67.08,82.4,88,75,6.93,broken clouds
150,Namatanai,PG,-3.67,152.43,84.47,65,8,5.26,clear sky
151,Cervo,ES,43.67,-7.41,60.01,1,57,11.95,broken clouds
152,Ribeira Grande,PT,38.52,-28.7,74.46,94,23,10.22,light rain
153,Hoghiz,RO,45.98,25.3,55.0,81,63,3.0,broken clouds
154,Lamar,US,33.67,-95.58,93.2,59,1,6.93,clear sky
155,Boende,CD,-0.22,20.87,69.44,90,100,2.51,overcast clouds
156,Pangnirtung,CA,66.15,-65.71,48.9,54,0,4.16,clear sky
157,Tessalit,ML,20.2,1.01,88.48,37,19,13.31,few clouds
158,Lagoa,PT,39.05,-27.98,74.03,95,1,15.05,clear sky
159,Westport,US,41.14,-73.36,75.99,84,89,5.53,overcast clouds
160,Inuvik,CA,68.35,-133.72,57.2,41,20,9.17,few clouds
161,Bulolo,PG,-7.2,146.65,77.94,70,89,4.14,overcast clouds
162,Kiunga,PG,-6.12,141.29,76.93,89,100,3.36,light rain
163,Youkounkoun,GN,12.53,-13.13,73.44,96,87,4.56,overcast clouds
164,Lebu,CL,-37.62,-73.65,45.19,81,64,21.59,broken clouds
165,Half Moon Bay,US,37.46,-122.43,72.0,64,40,10.29,smoke
166,Makushino,RU,55.21,67.24,63.68,77,87,7.14,overcast clouds
167,Jose Bonifacio,BR,-21.05,-49.69,77.0,25,0,5.77,clear sky
168,Rio De Janeiro,BR,-22.9,-43.21,75.2,73,0,2.24,clear sky
169,Black River,JM,18.03,-77.85,86.0,84,40,10.29,scattered clouds
170,Ancud,CL,-41.87,-73.82,39.79,72,9,7.92,clear sky
171,Brindisi,IT,40.58,17.67,78.01,83,0,8.05,clear sky
172,Klyuchi,RU,52.27,79.17,58.57,71,20,0.51,few clouds
173,Banepa,NP,27.63,85.52,69.8,94,40,3.36,scattered clouds
174,Sambir,UA,49.52,23.2,61.0,87,2,8.95,clear sky
175,Belyy Yar,RU,53.6,91.39,60.8,82,40,4.47,scattered clouds
176,Hovd,MN,48.01,91.64,53.96,59,83,1.66,broken clouds
177,Haines Junction,CA,60.75,-137.51,47.52,84,100,2.35,light rain
178,Esperance,AU,-33.87,121.9,50.0,100,75,24.16,broken clouds
179,Indiana,US,40.0,-86.25,84.2,94,1,4.7,clear sky
180,Castro,BR,-24.79,-50.01,58.28,82,0,2.64,clear sky
181,Saint-Augustin,CA,51.23,-58.65,50.95,78,39,11.48,scattered clouds
182,Yar-Sale,RU,66.83,70.83,51.51,88,100,18.9,light rain
183,Mackenzie,CA,55.3,-123.17,64.4,36,1,16.11,clear sky
184,Ahipara,NZ,-35.17,173.17,61.97,62,0,9.19,clear sky
185,Lakatoro,VU,-16.1,167.42,77.0,94,90,6.93,overcast clouds
186,Nishihara,JP,26.18,127.76,87.8,89,75,12.75,broken clouds
187,Riviere-Au-Renard,CA,49.0,-64.4,57.2,58,20,10.29,few clouds
188,Crestview,US,30.76,-86.57,80.6,83,40,3.36,scattered clouds
189,Kerema,PG,-7.96,145.78,81.3,76,30,5.5,scattered clouds
190,Winnemucca,US,40.97,-117.74,91.4,13,75,3.36,broken clouds
191,Cockburn Town,TC,21.46,-71.14,82.87,80,1,16.46,clear sky
192,Channel-Port Aux Basques,CA,47.57,-59.14,58.57,73,13,25.32,few clouds
193,Strezhevoy,RU,60.73,77.59,57.2,100,75,2.24,broken clouds
194,Barrow,US,71.29,-156.79,41.0,75,90,16.11,overcast clouds
195,Chicama,PE,-7.84,-79.15,61.03,85,49,6.35,scattered clouds
196,Puerto Ayora,EC,-0.74,-90.35,65.43,86,64,9.06,broken clouds
